新札幌駅,大麻駅南口,野幌駅南口,情報大学前(白樺通沿),eDCタワー前(構内),スクール便
7:01,7:17,7:27,7:33,-,
7:36,7:52,8:02,8:08,-,
8:00,8:16,8:26,8:32,-,
8:05,8:21,8:31,8:37,-,
8:15,8:31,8:42,-,8:52,
8:20,8:30,8:39,-,8:48,TRUE
8:46,8:59,9:09,9:15,-,
9:32,9:44,9:54,10:00,-,
9:48,10:00,10:10,-,10:20,
10:33,10:45,10:55,11:01,-,
11:33,11:45,11:55,12:01,-,
12:33,12:45,12:55,13:01,-,
13:33,13:45,13:55,-,14:05,
14:33,14:45,14:56,15:02,-,
15:33,15:45,15:55,16:05,-,
16:32,16:44,16:55,-,17:01,
17:39,17:51,18:04,-,18:10,
18:15,18:27,18:39,-,18:49,
18:37,18:49,19:01,-,19:11,
19:29,19:41,19:53,-,20:03,
20:30,20:42,20:54,-,21:04,
